SKU,parent,cat,gross,units,deliv,days,is_mapped,base_gross,base_units,asp,cat_base,f_oct,f_nov,oct_gross,nov_gross,oct_units,nov_units,Sold_in_event,In_inventory_7Sep,In_projection_sheet
BLK-ENML-BMPR-MGSAF-AP-IPH15PRO,Enamel,Cases And Sleeves,92716.0,84.0,62.0,45,True,46358.0,42.0,1103.7619047619048,34345120.5,1.2883232034218228,1.0714423217936824,59724.087064228865,49669.92315371153,55,46,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH15PROMAX,Enamel,Cases And Sleeves,78122.0,78.0,19.0,17,True,39061.0,39.0,1001.5641025641025,34345120.5,1.2883232034218228,1.0714423217936824,50323.19264885982,41851.60853158303,51,42,False,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH16,Enamel,Cases And Sleeves,16785.0,15.0,12.0,13,True,8392.5,7.5,1119.0,34345120.5,1.2883232034218228,1.0714423217936824,10812.252484717648,8992.07968565348,10,9,False,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH16PLS,Enamel,Cases And Sleeves,18384.0,16.0,11.0,14,True,9192.0,8.0,1149.0,34345120.5,1.2883232034218228,1.0714423217936824,11842.266885853396,9848.697821927528,11,9,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH16PRO,Enamel,Cases And Sleeves,54252.0,48.0,27.0,32,True,27126.0,24.0,1130.25,34345120.5,1.2883232034218228,1.0714423217936824,34947.055216020366,29063.94442097543,31,26,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH16PROMAX,Enamel,Cases And Sleeves,88422.0,78.0,21.0,42,True,44211.0,39.0,1133.6153846153845,34345120.5,1.2883232034218228,1.0714423217936824,56958.057146482206,47369.53648882049,51,42,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH17,Enamel,Cases And Sleeves,51459.0,41.0,32.0,28,True,25729.5,20.5,1255.0975609756097,34345120.5,1.2883232034218228,1.0714423217936824,33147.91186244179,27567.67521859055,27,22,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH17AIR,Enamel,Cases And Sleeves,23481.0,19.0,14.0,18,True,11740.5,9.5,1235.842105263158,34345120.5,1.2883232034218228,1.0714423217936824,15125.558569773912,12579.268579018728,13,11,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH17PRO,Enamel,Cases And Sleeves,60348.0,52.0,34.0,23,True,30174.0,26.0,1160.5384615384614,34345120.5,1.2883232034218228,1.0714423217936824,38873.86434005008,32329.700617802573,34,28,True,True,True
BLK-ENML-BMPR-MGSAF-AP-IPH17PROMAX,Enamel,Cases And Sleeves,333951.0,249.0,59.0,61,True,166975.5,124.5,1341.1686746987953,34345120.5,1.2883232034218228,1.0714423217936824,215118.41105296058,178904.617402661,161,134,True,True,True
BLK-EVEN-BIFLD-CRD-WLT,Bi-Fold,Wallet and Pouches,25978.0,22.0,14.0,20,True,12989.0,11.0,1180.8181818181818,1868266.5,0.5068369989254888,0.48653460120738173,6583.305779043175,6319.597935082681,6,6,True,True,True
BLK-EVEN-BIFLD-WLT,Bi-Fold,Wallet and Pouches,28081.0,19.0,14.0,18,True,14040.5,9.5,1477.9473684210527,1868266.5,0.5068369989254888,0.48653460120738173,7116.244883413326,6831.1890682522435,5,5,True,True,True
BLK-EVEN-LTHRT-BIFLD-WLT,Bi-Fold,Wallet and Pouches,31980.0,20.0,14.0,20,True,15990.0,10.0,1599.0,1868266.5,0.5068369989254888,0.48653460120738173,8104.323612818566,7779.688273306034,6,5,False,False,True
BLK-EVN-LZIP-WLT,L-Zip Wallet,Wallet and Pouches,29080.0,20.0,19.0,16,True,14540.0,10.0,1454.0,1868266.5,0.5068369989254888,0.48653460120738173,7369.409964376608,7074.2131015553305,6,5,True,True,True
BLK-EVN-WRP-CRD-WLT,Wrap Card Wallet,Wallet and Pouches,127128.0,72.0,48.0,47,True,63564.0,36.0,1765.6666666666667,1868266.5,0.5068369989254888,0.48653460120738173,32216.58699969977,30926.08539114601,19,18,True,True,True
BLK-FLKT-SLCN-DOB-SS-GLS23PLS,Flekt Silicone,Cases And Sleeves,2796.0,4.0,2.0,4,True,1398.0,2.0,699.0,34345120.5,1.2883232034218228,1.0714423217936824,1801.0758383837083,1497.876365867568,3,3,False,True,True
BLK-FRSTD-CLR-GO-PIXEL8A,Frosted Clear,Cases And Sleeves,9288.0,12.0,10.0,9,True,4644.0,6.0,774.0,34345120.5,1.2883232034218228,1.0714423217936824,5982.9729566909455,4975.778142409861,8,7,False,True,True
BLK-FRSTD-CLR-GO-PIXEL8PRO,Frosted Clear,Cases And Sleeves,10137.0,13.0,10.0,11,True,5068.5,6.5,779.7692307692307,34345120.5,1.2883232034218228,1.0714423217936824,6529.866156543509,5430.605408011279,9,7,False,True,True
BLK-FRSTD-CLR-GO-PIXEL9A,Frosted Clear,Cases And Sleeves,18879.0,21.0,15.0,16,True,9439.5,10.5,899.0,34345120.5,1.2883232034218228,1.0714423217936824,12161.126878700297,10113.879796571464,14,12,False,True,True
BLK-FRSTD-CLR-GO-PIXEL9PROXL,Frosted Clear,Cases And Sleeves,11386.0,14.0,7.0,12,True,5693.0,7.0,813.2857142857143,34345120.5,1.2883232034218228,1.0714423217936824,7334.423997080437,6099.721137971434,10,8,False,True,True
BLK-FRSTD-CLR-NT-PHN2,Frosted Clear,Cases And Sleeves,10332.0,18.0,17.0,16,True,5166.0,9.0,574.0,34345120.5,1.2883232034218228,1.0714423217936824,6655.477668877137,5535.071034386163,12,10,False,True,True
BLK-FRSTD-CLR-NT-PHN2A,Frosted Clear,Cases And Sleeves,3824.0,6.0,5.0,6,True,1912.0,3.0,637.3333333333334,34345120.5,1.2883232034218228,1.0714423217936824,2463.2739649425253,2048.597719269521,4,4,False,True,True
BLK-FRSTD-CLR-ON-11,Frosted Clear,Cases And Sleeves,10781.0,19.0,13.0,15,True,5390.5,9.5,567.421052631579,34345120.5,1.2883232034218228,1.0714423217936824,6944.706228045336,5775.609835628845,13,11,False,True,True
BLK-FRSTD-CLR-ON-12R,Frosted Clear,Cases And Sleeves,151797.0,203.0,30.0,39,True,75898.5,101.5,747.768472906404,34345120.5,1.2883232034218228,1.0714423217936824,97781.79865491122,81320.8650606578,131,109,False,True,True
BLK-FRSTD-CLR-ON-13,Frosted Clear,Cases And Sleeves,185312.0,238.0,19.0,41,True,92656.0,119.0,778.6218487394958,34345120.5,1.2883232034218228,1.0714423217936824,119370.87473625242,99275.55976811543,154,128,True,True,True
BLK-FRSTD-CLR-ON-13R,Frosted Clear,Cases And Sleeves,223155.0,295.0,12.0,41,True,111577.5,147.5,756.457627118644,34345120.5,1.2883232034218228,1.0714423217936824,143747.88222979844,119548.85565993459,191,159,True,True,True
